tbl;Year;quarter;citymarketid;cityname;airportid;apt;TotalMkts;TotalFaredPax;TotalPerLFMkts;TotalAvgHubFare;TotalPerPrem;SHMkts;SHPax;SHPerLFMkts;SHAvgHubFare;SHPerPrem;LHMkts;LHPax;LHPerLFMkts;LHAvgHubFare;LHPerPrem;tbl7pk
Table 7;2014;4;30397;Atlanta, GA (Metropolitan Area);10397;ATL;159;6,061,860;0.8425;223.32;0.1164;96;3,632,530;0.8175;196.15;0.0674;63;2,429,330;0.8800;263.94;0.1765;2014410397ATL
Table 7;2016;4;34489;Bend/Redmond, OR;14489;RDM;28;89,370;0.0000;212.41;-0.1167;7;42,880;0.0000;177.00;-0.1967;21;46,490;0.0000;245.07;-0.0540;2016414489RDM
Table 7;2015;1;32945;Lexington, KY;12945;LEX;44;147,200;0.0000;244.21;0.0518;21;81,430;0.0000;228.41;0.0494;23;65,770;0.0000;263.77;0.0545;2015112945LEX
Table 7;2017;1;32575;Los Angeles, CA (Metropolitan Area);12892;LAX;187;8,053,490;0.9308;220.98;-5.8050;32;1,863,930;0.9414;147.78;-9.1086;155;6,189,560;0.9277;243.02;-5.1738;2017112892LAX
Table 7;2008;4;34570;Reno, NV;14570;RNO;67;697,570;0.8734;168.54;-0.0676;18;462,720;0.9697;129.47;-0.1291;49;234,850;0.6836;245.52;0.0062;2008414570RNO
Table 7;2013;3;30685;Bloomington/Normal, IL;10685;BMI;26;54,780;0.4449;207.00;-0.1118;7;17,320;0.0000;267.05;0.3694;19;37,460;0.6506;179.23;-0.2849;2013310685BMI
Table 7;2010;4;31977;Green Bay, WI;11977;GRB;37;71,220;0.4259;216.98;0.0613;6;13,400;0.3963;221.13;0.8208;31;57,820;0.4327;216.02;-0.0342;2010411977GRB
Table 7;2019;2;32323;Wilmington, NC;12323;ILM;55;182,630;0.0000;251.89;0.0262;28;101,810;0.0000;223.79;0.0026;27;80,820;0.0000;287.29;0.0506;2019212323ILM
Table 7;2010;3;32156;Helena, MT;12156;HLN;13;12,700;0.0000;264.11;0.1856;2;6,270;0.0000;244.00;0.2639;11;6,430;0.0000;283.73;0.1271;2010312156HLN
Table 7;2014;3;33502;Montrose/Delta, CO;13502;MTJ;7;7,250;0.0000;383.54;0.3526;1;2,370;0.0000;322.96;0.2099;6;4,880;0.0000;412.97;0.4160;2014313502MTJ
Table 7;2010;3;31637;Fargo, ND;11637;FAR;34;97,250;0.0000;216.31;0.0372;4;17,070;0.0000;265.73;0.6212;30;80,180;0.0000;205.79;-0.0563;2010311637FAR
Table 7;2008;3;34711;Philipsburg/State College, PA;14711;SCE;13;14,860;0.0000;236.07;-0.0355;4;4,920;0.0000;276.22;0.2478;9;9,940;0.0000;216.20;-0.1566;2008314711SCE
Table 7;2014;1;31481;Panama City, FL;11481;ECP;34;81,130;0.9020;237.97;0.0816;8;29,430;0.8471;203.07;-0.0786;26;51,700;0.9333;257.84;0.1731;2014111481ECP
Table 7;2008;2;30990;Charlottesville, VA;10990;CHO;22;25,530;0.0000;288.18;0.2122;12;18,450;0.0000;271.87;0.2504;10;7,080;0.0000;330.69;0.1377;2008210990CHO
Table 7;2017;2;31895;Great Falls, MT;12003;GTF;16;34,180;0.4465;181.36;-0.2401;3;9,410;0.0000;215.95;0.0939;13;24,770;0.6161;168.22;-0.3386;2017212003GTF
Table 7;2013;1;33360;Melbourne, FL;13360;MLB;20;36,930;0.0000;198.29;-0.1778;2;10,640;0.0000;192.37;-0.1647;18;26,290;0.0000;200.69;-0.1828;2013113360MLB
Table 7;2013;3;34457;Rapid City, SD;14457;RAP;35;68,090;0.0000;286.77;0.1585;2;9,510;0.0000;302.10;0.6215;33;58,580;0.0000;284.28;0.1041;2013314457RAP
Table 7;2010;4;31714;Fort Myers, FL;14635;RSW;89;1,559,050;0.9135;162.59;-0.1575;8;86,320;0.7712;155.67;-0.0876;81;1,472,730;0.9219;162.99;-0.1611;2010414635RSW
Table 7;2016;4;33486;Missoula, MT;13486;MSO;34;102,600;0.4133;214.24;-0.1381;6;45,250;0.3584;176.87;-0.2062;28;57,350;0.4565;243.72;-0.0936;2016413486MSO
Table 7;2017;2;34922;Salinas/Monterey, CA;13476;MRY;14;55,730;0.0904;188.76;-0.0945;6;45,750;0.1102;140.86;-0.1912;8;9,980;0.0000;408.32;0.1166;2017213476MRY
Table 7;2014;3;31995;Greensboro/High Point, NC;11995;GSO;62;283,580;0.0724;259.79;0.1134;39;197,150;0.0000;232.35;0.1073;23;86,430;0.2374;322.39;0.1236;2014311995GSO
Table 7;2015;1;32156;Helena, MT;12156;HLN;8;9,540;0.0000;203.52;-0.2666;2;5,110;0.0000;205.96;-0.2522;6;4,430;0.0000;200.70;-0.2830;2015112156HLN
Table 7;2009;4;31066;Columbus, OH;11066;CMH;82;1,179,480;0.7696;163.85;-0.0479;45;578,490;0.6449;147.79;0.0259;37;600,990;0.8896;179.30;-0.0993;2009411066CMH
Table 7;2011;2;33184;Saginaw/Bay City/Midland, MI;13184;MBS;20;19,990;0.0000;262.98;0.0394;10;8,550;0.0000;263.76;0.1741;10;11,440;0.0000;262.40;-0.0432;2011213184MBS
Table 7;2017;3;31703;New York City, NY (Metropolitan Area);15070;SWF;132;72,950;0.6006;192.07;0.0220;43;22,390;0.4524;161.43;-0.0480;89;50,560;0.6661;205.64;0.0488;2017315070SWF
Table 7;2008;3;30615;El Paso, TX;11540;ELP;73;637,510;0.8145;190.96;-0.0747;22;368,530;0.8989;157.28;-0.1380;51;268,980;0.6989;237.10;-0.0084;2008311540ELP
Table 7;2013;4;31337;Duluth, MN;11337;DLH;13;24,600;0.0000;184.97;-0.2227;2;7,370;0.0000;165.91;-0.1795;11;17,230;0.0000;193.13;-0.2375;2013411337DLH
Table 7;2010;2;32448;Jackson/Vicksburg, MS;12448;JAN;56;236,470;0.7231;210.71;0.0364;20;126,100;0.6701;181.77;-0.0445;36;110,370;0.7836;243.78;0.1170;2010212448JAN
Table 7;2017;2;30647;Cleveland, OH (Metropolitan Area);11042;CLE;98;1,616,520;0.8293;203.06;-0.0384;47;663,990;0.6368;219.29;0.1688;51;952,530;0.9634;191.76;-0.1574;2017211042CLE
Table 7;2018;1;31638;Fresno, CA;11638;FAT;45;181,510;0.0844;244.55;-0.0508;11;98,150;0.1560;174.37;-0.1754;34;83,360;0.0000;327.17;0.0486;2018111638FAT
Table 7;2012;1;30577;Binghamton, NY;10577;BGM;8;12,150;0.0000;216.35;-0.1399;4;4,130;0.0000;242.42;-0.0885;4;8,020;0.0000;202.92;-0.1687;2012110577BGM
Table 7;2009;1;32467;Miami, FL (Metropolitan Area);11697;FLL;142;3,822,090;0.9448;159.86;-0.0861;27;496,940;0.9174;129.86;-0.1041;115;3,325,150;0.9489;164.35;-0.0839;2009111697FLL
Table 7;2013;3;31003;Cedar Rapids/Iowa City, IA;11003;CID;38;134,800;0.4131;243.42;-0.0022;7;38,050;0.4050;250.22;0.1130;31;96,750;0.4162;240.75;-0.0428;2013311003CID
Table 7;2012;4;31703;New York City, NY (Metropolitan Area);15070;SWF;153;73,810;0.4712;221.60;0.0276;51;11,910;0.0000;240.54;0.2943;102;61,900;0.5619;217.96;-0.0155;2012415070SWF
Table 7;2013;4;31703;New York City, NY (Metropolitan Area);12478;JFK;177;3,874,220;0.8849;260.61;0.0865;55;647,870;0.7870;160.37;0.0542;122;3,226,350;0.9046;280.74;0.0903;2013412478JFK
Table 7;2015;4;31973;Gulfport/Biloxi, MS;11973;GPT;32;49,990;0.0506;261.89;0.0694;9;19,970;0.0000;236.31;-0.0002;23;30,020;0.0843;278.91;0.1131;2015411973GPT
Table 7;2015;1;30980;Chattanooga, TN;10980;CHA;44;99,300;0.0000;221.80;-0.1078;23;67,790;0.0000;201.01;-0.1410;21;31,510;0.0000;266.53;-0.0479;2015110980CHA
Table 7;2012;2;32280;Idaho Falls, ID;12280;IDA;15;30,230;0.0000;178.80;-0.2331;12;27,170;0.0000;146.84;-0.3349;3;3,060;0.0000;462.56;0.3490;2012212280IDA
Table 7;2007;4;32211;Las Vegas, NV;12889;LAS;174;7,233,820;0.7986;155.59;-0.1552;34;2,594,340;0.9334;108.63;-0.1610;140;4,639,480;0.7232;181.85;-0.1533;2007412889LAS
Table 7;2010;2;33139;Lynchburg, VA;13139;LYH;8;10,910;0.0000;189.25;-0.0446;5;6,910;0.0000;192.91;-0.0375;3;4,000;0.0000;182.92;-0.0572;2010213139LYH
Table 7;2014;4;30792;Buffalo, NY;10792;BUF;70;889,700;0.8428;198.04;-0.0828;31;418,160;0.7359;172.23;-0.0264;39;471,540;0.9376;220.92;-0.1180;2014410792BUF
Table 7;2008;4;30372;Aspen, CO;10372;ASE;19;30,770;0.7332;304.16;0.5046;7;13,430;0.9695;252.17;0.2963;12;17,340;0.5502;344.43;0.6553;2008410372ASE
Table 7;2019;3;33502;Montrose/Delta, CO;13502;MTJ;21;28,120;0.0000;352.37;0.3707;7;12,330;0.0000;326.89;0.3123;14;15,790;0.0000;372.26;0.4139;2019313502MTJ
Table 7;2017;4;34614;Salt Lake City, UT;14869;SLC;121;2,572,840;0.7693;210.53;0.0154;41;1,371,450;0.7511;156.35;-0.0760;80;1,201,390;0.7900;272.39;0.0857;2017414869SLC
Table 7;2014;1;30721;Boston, MA (Metropolitan Area);10721;BOS;126;4,358,420;0.9001;220.83;-0.0473;32;1,308,350;0.8868;171.17;0.0152;94;3,050,070;0.9059;242.14;-0.0647;2014110721BOS
Table 7;2015;4;30431;Asheville, NC;10431;AVL;39;107,490;0.0000;215.96;-0.0250;22;85,280;0.0000;180.79;-0.1234;17;22,210;0.0000;351.03;0.2533;2015410431AVL
Table 7;2011;2;30849;Bozeman, MT;10849;BZN;36;95,260;0.3937;235.71;0.0303;4;29,150;0.3746;169.38;-0.0670;32;66,110;0.4021;264.95;0.0615;2011210849BZN
Table 7;2008;4;30434;Scranton/Wilkes-Barre, PA;10434;AVP;21;50,090;0.0000;204.13;-0.1344;5;11,980;0.0000;229.01;0.1649;16;38,110;0.0000;196.30;-0.2090;2008410434AVP
Table 7;2017;4;30194;Dallas/Fort Worth, TX;11298;DFW;190;5,540,280;0.3365;214.64;0.0707;68;1,334,330;0.1366;196.17;0.0660;122;4,205,950;0.4000;220.50;0.0721;2017411298DFW
Table 7;2010;3;32337;Indianapolis, IN;12339;IND;103;1,510,430;0.7986;180.18;-0.0735;59;660,650;0.6466;173.52;-0.0182;44;849,780;0.9168;185.35;-0.1100;2010312339IND
Table 7;2014;3;35323;Bristol/Johnson City/Kingsport, TN;15323;TRI;34;52,320;0.0000;244.56;-0.1019;19;33,350;0.0000;200.00;-0.2034;15;18,970;0.0000;322.90;0.0428;2014315323TRI
Table 7;2009;1;30157;Eureka/Arcata, CA;10157;ACV;7;13,790;0.0000;180.59;-0.0336;7;13,790;0.0000;180.59;-0.0336;;;;;;2009110157ACV
Table 7;2017;4;34027;West Palm Beach/Palm Beach, FL;14027;PBI;85;1,227,680;0.8587;218.22;0.0970;13;127,440;0.6860;207.18;0.0935;72;1,100,240;0.8787;219.50;0.0974;2017414027PBI
Table 7;2015;3;33105;Cincinnati, OH;11193;CVG;75;912,110;0.4117;255.37;0.2116;38;372,790;0.1104;277.33;0.4643;37;539,320;0.6199;240.19;0.0649;2015311193CVG
Table 7;2010;3;34674;Santa Fe, NM;14674;SAF;7;9,950;0.0000;232.55;0.1434;3;7,340;0.0000;199.75;0.1287;4;2,610;0.0000;324.79;0.1697;2010314674SAF
Table 7;2008;1;30372;Aspen, CO;10372;ASE;33;92,120;0.0000;331.23;0.5611;9;27,560;0.0000;291.62;0.3279;24;64,560;0.0000;348.13;0.6657;2008110372ASE
Table 7;2009;2;30135;Allentown/Bethlehem/Easton, PA;10135;ABE;33;106,290;0.1058;166.44;-0.1082;12;34,090;0.0000;200.63;0.1573;21;72,200;0.1558;150.29;-0.2208;2009210135ABE
Table 7;2011;4;34922;Salinas/Monterey, CA;13476;MRY;21;42,270;0.0000;247.98;0.1369;7;25,240;0.0000;171.05;0.0612;14;17,030;0.0000;362.01;0.1967;2011413476MRY
Table 7;2020;1;33264;Medford, OR;13264;MFR;26;89,080;0.2585;180.23;-0.2178;13;64,280;0.3583;156.78;-0.2712;13;24,800;0.0000;241.02;-0.1075;2020113264MFR
Table 7;2008;1;34027;West Palm Beach/Palm Beach, FL;14027;PBI;81;1,731,290;0.8851;174.60;-0.0293;11;125,760;0.9651;171.85;0.0643;70;1,605,530;0.8788;174.81;-0.0359;2008114027PBI
Table 7;2013;2;31973;Gulfport/Biloxi, MS;11973;GPT;44;89,370;0.0000;246.83;-0.0393;12;30,400;0.0000;238.91;-0.0304;32;58,970;0.0000;250.91;-0.0436;2013211973GPT
Table 7;2014;1;32457;San Francisco, CA (Metropolitan Area);14831;SJC;141;1,541,530;0.9356;188.20;-0.0734;23;1,038,230;0.9869;149.46;-0.1038;118;503,300;0.8298;268.10;-0.0358;2014114831SJC
Table 7;2008;4;32600;Little Rock, AR;12992;LIT;67;419,700;0.7107;187.51;-0.0512;27;217,910;0.6603;158.81;-0.0769;40;201,790;0.7651;218.49;-0.0300;2008412992LIT
Table 7;2009;1;31703;New York City, NY (Metropolitan Area);12391;ISP;110;415,010;0.9757;148.12;-0.0725;42;56,460;0.8953;120.63;0.1037;68;358,550;0.9884;152.45;-0.0906;2009112391ISP
Table 7;2009;4;30581;Bangor, ME;10581;BGR;13;25,810;0.0000;184.85;-0.0605;8;8,210;0.0000;237.01;0.4471;5;17,600;0.0000;160.52;-0.2434;2009410581BGR
Table 7;2018;1;33264;Medford, OR;13264;MFR;29;106,910;0.2584;192.25;-0.2246;14;77,610;0.3560;164.45;-0.2747;15;29,300;0.0000;265.88;-0.1256;2018113264MFR
Table 7;2014;3;34696;South Bend, IN;14696;SBN;32;80,840;0.0000;217.16;-0.1181;11;22,720;0.0000;296.15;0.4055;21;58,120;0.0000;186.29;-0.2839;2014314696SBN
Table 7;2013;4;34685;Savannah, GA;14685;SAV;61;274,940;0.0000;257.05;0.1403;22;98,650;0.0000;241.27;0.0919;39;176,290;0.0000;265.87;0.1665;2013414685SAV
Table 7;2017;4;30466;Phoenix, AZ;10466;AZA;41;305,280;1.0000;111.67;-0.4924;7;51,070;1.0000;84.73;-0.5798;34;254,210;1.0000;117.08;-0.4766;2017410466AZA
Table 7;2008;2;30599;Birmingham, AL;10599;BHM;73;664,370;0.7809;187.19;-0.0624;40;460,140;0.7746;164.47;-0.1369;33;204,230;0.7951;238.39;0.0828;2008210599BHM
Table 7;2018;2;31977;Green Bay, WI;11977;GRB;38;70,300;0.0000;302.23;0.2244;7;17,300;0.0000;271.27;0.7546;31;53,000;0.0000;312.33;0.1278;2018211977GRB
Table 7;2008;3;31140;Corpus Christi, TX;11140;CRP;33;102,270;0.7380;196.43;-0.0277;8;60,410;0.7126;142.20;-0.1388;25;41,860;0.7747;274.70;0.0759;2008311140CRP
Table 7;2010;3;31057;Charlotte, NC;11057;CLT;111;2,132,800;0.3229;200.49;0.0988;69;1,469,220;0.4313;180.19;0.1084;42;663,580;0.0830;245.45;0.0834;2010311057CLT
Table 7;2016;3;30397;Atlanta, GA (Metropolitan Area);10397;ATL;165;6,898,490;0.8070;198.17;0.0666;97;4,014,130;0.7562;169.96;-0.0279;68;2,884,360;0.8778;237.43;0.1810;2016310397ATL
Table 7;2010;1;31986;Grand Rapids, MI;11986;GRR;55;269,280;0.0000;214.94;0.1270;23;76,270;0.0000;253.99;0.4169;32;193,010;0.0000;199.52;0.0218;2010111986GRR
Table 7;2018;2;34433;Santa Rosa, CA;15023;STS;9;77,870;0.0000;156.44;-0.2389;9;77,870;0.0000;156.44;-0.2389;;;;;;2018215023STS
Table 7;2013;1;31721;Flint, MI;11721;FNT;31;128,910;0.8251;189.37;-0.1306;10;33,710;0.7176;163.85;-0.2206;21;95,200;0.8632;198.41;-0.1003;2013111721FNT
Table 7;2011;2;33377;Monroe, LA;13377;MLU;16;14,310;0.0000;255.44;0.1356;4;7,070;0.0000;243.33;0.2604;12;7,240;0.0000;267.27;0.0437;2011213377MLU
Table 7;2010;1;30581;Bangor, ME;10581;BGR;14;34,620;0.0000;173.05;-0.1371;8;4,040;0.0000;224.89;0.3528;6;30,580;0.0000;166.20;-0.1896;2010110581BGR
Table 7;2010;4;31057;Charlotte, NC;11057;CLT;109;2,130,290;0.2340;191.69;0.0741;68;1,503,820;0.3150;170.85;0.0640;41;626,470;0.0393;241.70;0.0917;2010411057CLT
Table 7;2009;2;31337;Duluth, MN;11337;DLH;11;18,820;0.0000;180.24;-0.0326;2;2,980;0.0000;180.39;-0.0790;9;15,840;0.0000;180.21;-0.0233;2009211337DLH
Table 7;2014;1;30627;Bismarck/Mandan, ND;10627;BIS;16;63,240;0.5512;205.60;-0.0534;2;13,500;0.6867;264.22;0.7136;14;49,740;0.5145;189.69;-0.1904;2014110627BIS
Table 7;2011;1;32547;Rochester, MN;14633;RST;11;9,590;0.0000;218.32;0.6617;2;5,820;0.0000;173.18;0.7739;9;3,770;0.0000;288.01;0.5696;2011114633RST
Table 7;2015;3;32448;Jackson/Vicksburg, MS;12448;JAN;52;163,880;0.0000;276.13;0.0844;18;73,030;0.0000;261.62;0.1024;34;90,850;0.0000;287.79;0.0717;2015312448JAN
Table 7;2011;2;30372;Aspen, CO;10372;ASE;25;32,770;0.6814;314.80;0.4406;7;12,320;0.9756;246.00;0.2349;18;20,450;0.5042;356.25;0.5479;2011210372ASE
Table 7;2017;4;31703;New York City, NY (Metropolitan Area);12391;ISP;115;293,450;0.9734;172.30;-0.0829;42;49,450;0.8910;181.03;0.0558;73;244,000;0.9901;170.53;-0.1081;2017412391ISP
Table 7;2009;4;30408;Appleton, WI;10408;ATW;24;39,450;0.0000;202.30;-0.0538;4;6,480;0.0000;224.39;-0.0448;20;32,970;0.0000;197.95;-0.0558;2009410408ATW
Table 7;2008;1;31703;New York City, NY (Metropolitan Area);12197;HPN;143;376,780;0.7800;179.46;0.0403;48;28,060;0.1012;225.72;0.4385;95;348,720;0.8346;175.74;0.0113;2008112197HPN
Table 7;2013;3;30285;Durango, CO;11413;DRO;27;59,810;0.7377;237.74;0.0748;10;29,410;0.7950;219.24;0.3138;17;30,400;0.6822;255.63;-0.0662;2013311413DRO
Table 7;2011;4;35380;Traverse City, MI;15380;TVC;21;15,760;0.0000;290.04;0.0676;13;9,050;0.0000;290.37;0.1301;8;6,710;0.0000;289.61;-0.0068;2011415380TVC
Table 7;2020;1;32467;Miami, FL (Metropolitan Area);11697;FLL;154;3,868,220;0.9650;188.01;-0.0813;31;484,380;0.9335;149.96;-0.2018;123;3,383,840;0.9696;193.45;-0.0656;2020111697FLL
Table 7;2019;3;30685;Bloomington/Normal, IL;10685;BMI;23;52,150;0.5664;173.73;-0.2382;6;15,590;0.0000;243.11;0.2412;17;36,560;0.8080;144.14;-0.4038;2019310685BMI
Table 7;2016;2;32896;Lubbock, TX;12896;LBB;37;137,640;0.8228;229.68;0.0474;9;89,560;0.7693;204.82;0.0676;28;48,080;0.9224;275.97;0.0207;2016212896LBB
Table 7;2017;2;31123;St. Louis, MO;15016;STL;104;2,187,300;0.8865;226.60;0.1026;51;954,130;0.7899;218.37;0.0858;53;1,233,170;0.9612;232.96;0.1152;2017215016STL
Table 7;2013;4;33728;Pensacola, FL;14193;PNS;54;221,250;0.7236;240.94;0.0818;17;87,720;0.6632;204.51;-0.0129;37;133,530;0.7633;264.87;0.1370;2013414193PNS
Table 7;2019;2;32600;Little Rock, AR;12992;LIT;70;383,700;0.7777;257.01;0.0552;28;166,360;0.6271;248.61;0.0921;42;217,340;0.8929;263.44;0.0301;2019212992LIT
Table 7;2012;1;30194;Dallas/Fort Worth, TX;11298;DFW;175;4,098,250;0.4507;251.96;0.2134;64;1,059,540;0.3256;211.06;0.1241;111;3,038,710;0.4944;266.22;0.2406;2012111298DFW
Table 7;2016;1;30581;Bangor, ME;10581;BGR;15;47,370;0.6622;176.72;-0.2265;9;9,450;0.0000;250.74;0.2674;6;37,920;0.8273;158.27;-0.3296;2016110581BGR
Table 7;2008;4;31140;Corpus Christi, TX;11140;CRP;34;104,490;0.6425;192.29;0.0416;7;61,430;0.6567;137.81;-0.0559;27;43,060;0.6224;270.01;0.1264;2008411140CRP
Table 7;2014;4;31703;New York City, NY (Metropolitan Area);11618;EWR;176;3,958,730;0.6031;272.24;0.1955;56;638,940;0.2303;251.79;0.5152;120;3,319,790;0.6749;276.17;0.1528;2014411618EWR
Table 7;2013;4;34262;Palm Springs, CA;14262;PSP;45;279,950;0.3378;220.16;-0.0779;7;65,780;0.6862;158.23;-0.1757;38;214,170;0.2308;239.18;-0.0551;2013414262PSP
Table 7;2017;2;32457;San Francisco, CA (Metropolitan Area);13796;OAK;160;2,225,680;0.9928;175.77;-0.1216;27;1,464,980;0.9973;143.22;-0.1462;133;760,700;0.9841;238.46;-0.0912;2017213796OAK
Table 7;2018;2;33495;New Orleans, LA;13495;MSY;110;2,523,630;0.9560;213.53;-0.0057;42;909,710;0.9076;187.28;-0.0729;68;1,613,920;0.9833;228.32;0.0287;2018213495MSY
Table 7;2009;4;34614;Salt Lake City, UT;14869;SLC;106;1,900,510;0.9131;180.21;0.0309;32;1,065,350;0.9737;137.56;-0.0526;74;835,160;0.8359;234.61;0.1036;2009414869SLC
Table 7;2008;4;30647;Cleveland, OH (Metropolitan Area);11042;CLE;93;1,259,820;0.5476;206.50;0.1739;50;637,640;0.4228;186.77;0.2497;43;622,180;0.6756;226.73;0.1168;2008411042CLE
Table 7;2009;4;30980;Chattanooga, TN;10980;CHA;39;73,720;0.0000;193.73;-0.0042;20;49,640;0.0000;179.04;-0.0298;19;24,080;0.0000;224.01;0.0410;2009410980CHA
Table 7;2009;3;32575;Los Angeles, CA (Metropolitan Area);14908;SNA;177;2,054,630;0.7744;165.24;-0.0207;24;879,870;0.9938;110.49;-0.1083;153;1,174,760;0.6101;206.25;0.0194;2009314908SNA
Table 7;2009;4;31454;Orlando, FL;13204;MCO;141;5,630,760;0.9192;151.84;-0.1396;36;744,500;0.9027;145.89;-0.0988;105;4,886,260;0.9217;152.75;-0.1452;2009413204MCO
Table 7;2011;2;30599;Birmingham, AL;10599;BHM;73;537,530;0.8256;225.90;0.0433;40;351,000;0.7404;207.15;-0.0035;33;186,530;0.9858;261.18;0.1222;2011210599BHM
Table 7;2015;1;30469;Kalamazoo, MI;10469;AZO;12;10,530;0.0000;326.59;0.2326;6;4,620;0.0000;338.79;0.5638;6;5,910;0.0000;317.06;0.0474;2015110469AZO
Table 7;2014;1;30185;Alexandria, LA;10185;AEX;9;9,170;0.0000;264.22;0.1643;3;4,680;0.0000;227.87;0.0384;6;4,490;0.0000;302.12;0.2869;2014110185AEX
Table 7;2020;1;31140;Corpus Christi, TX;11140;CRP;20;40,080;0.5746;269.64;0.2249;5;24,700;0.4765;241.63;0.2806;15;15,380;0.7321;314.62;0.1625;2020111140CRP
Table 7;2019;3;30852;Washington, DC (Metropolitan Area);12264;IAD;180;1,972,640;0.3372;268.11;0.1909;74;594,800;0.1398;220.38;0.3335;106;1,377,840;0.4223;288.71;0.1504;2019312264IAD
Table 7;2009;1;31453;Houston, TX;12266;IAH;137;2,249,360;0.0839;212.92;0.2519;35;481,070;0.0000;166.45;0.2024;102;1,768,290;0.1067;225.56;0.2623;2009112266IAH
Table 7;2017;2;31135;Myrtle Beach, SC;13577;MYR;60;359,940;0.8938;152.81;-0.3071;37;259,040;0.9008;129.41;-0.3950;23;100,900;0.8757;212.89;-0.1037;2017213577MYR
Table 7;2015;1;34614;Salt Lake City, UT;14869;SLC;111;2,287,530;0.8903;236.77;0.0416;35;1,188,050;0.8194;167.78;-0.0780;76;1,099,480;0.9670;311.31;0.1266;2015114869SLC
Table 7;2010;1;30852;Washington, DC (Metropolitan Area);10821;BWI;169;2,988,110;0.9031;161.28;-0.0862;76;1,357,130;0.8986;132.22;-0.0886;93;1,630,980;0.9068;185.47;-0.0847;2010110821BWI
Table 7;2015;4;32457;San Francisco, CA (Metropolitan Area);14831;SJC;164;1,915,590;0.9148;198.39;-0.0054;24;1,233,410;0.9671;154.68;-0.0340;140;682,180;0.8202;277.41;0.0253;2015414831SJC
Table 7;2011;4;30194;Dallas/Fort Worth, TX;11259;DAL;151;1,254,770;0.9801;171.52;-0.0158;52;947,370;0.9777;158.93;-0.0145;99;307,400;0.9877;210.34;-0.0190;2011411259DAL
Table 7;2016;1;34236;Paso Robles/San Luis Obispo, CA;14698;SBP;14;27,200;0.0000;243.30;0.0164;5;16,170;0.0000;179.37;-0.0328;9;11,030;0.0000;337.03;0.0583;2016114698SBP
Table 7;2014;2;30852;Washington, DC (Metropolitan Area);12264;IAD;172;1,805,860;0.6183;291.28;0.1702;70;556,880;0.3866;223.27;0.2431;102;1,248,980;0.7216;321.60;0.1493;2014212264IAD
Table 7;2013;1;32070;Harrisburg, PA;13230;MDT;43;170,100;0.1468;238.25;-0.0160;13;49,190;0.0000;281.82;0.3278;30;120,910;0.2065;220.53;-0.1328;2013113230MDT
Table 7;2013;4;31650;Minneapolis/St. Paul, MN;13487;MSP;140;3,382,540;0.8967;235.28;0.1051;47;964,110;0.8474;205.96;0.1394;93;2,418,430;0.9163;246.97;0.0942;2013413487MSP
Table 7;2008;2;30852;Washington, DC (Metropolitan Area);11278;DCA;183;3,253,130;0.2862;233.15;0.3800;83;1,675,390;0.1733;218.19;0.6592;100;1,577,740;0.4060;249.03;0.1933;2008211278DCA
Table 7;2010;3;30194;Dallas/Fort Worth, TX;11298;DFW;179;4,523,220;0.3609;224.79;0.2049;63;1,100,970;0.3362;182.45;0.0964;116;3,422,250;0.3688;238.41;0.2350;2010311298DFW
Table 7;2008;4;33570;San Diego, CA;14679;SAN;124;3,328,220;0.8561;186.50;-0.0605;18;1,317,970;0.9809;119.66;-0.1835;106;2,010,250;0.7743;230.33;-0.0097;2008414679SAN
Table 7;2009;3;32547;Rochester, MN;14633;RST;11;17,700;0.0000;152.20;0.0070;2;7,680;0.0000;132.53;0.3802;9;10,020;0.0000;167.27;-0.1350;2009314633RST
Table 7;2011;4;32457;San Francisco, CA (Metropolitan Area);14771;SFO;160;5,307,990;0.8608;244.03;0.0134;26;1,849,130;0.8960;153.43;-0.0651;134;3,458,860;0.8420;292.46;0.0378;2011414771SFO
Table 7;2018;2;34027;West Palm Beach/Palm Beach, FL;14027;PBI;85;1,244,110;0.8180;209.32;0.0317;15;138,310;0.7026;207.85;0.0476;70;1,105,800;0.8324;209.50;0.0298;2018214027PBI
Table 7;2014;2;32575;Los Angeles, CA (Metropolitan Area);12892;LAX;200;7,813,390;0.9176;255.13;-0.0110;31;1,781,520;0.9402;143.81;-0.1491;169;6,031,870;0.9110;288.00;0.0133;2014212892LAX
Table 7;2009;2;30994;Charleston, SC;10994;CHS;71;447,000;0.5999;193.76;0.0818;39;264,140;0.6090;182.14;0.0515;32;182,860;0.5867;210.56;0.1222;2009210994CHS
Table 7;2013;2;34027;West Palm Beach/Palm Beach, FL;14027;PBI;70;1,101,100;0.8234;189.16;-0.0775;9;114,590;0.7975;172.27;-0.0898;61;986,510;0.8264;191.12;-0.0762;2013214027PBI
Table 7;2011;4;30372;Aspen, CO;10372;ASE;24;41,250;0.6979;409.52;0.9415;7;16,710;0.9761;371.26;0.8166;17;24,540;0.5086;435.58;1.0222;2011410372ASE
Table 7;2016;2;32070;Harrisburg, PA;13230;MDT;45;184,100;0.1496;264.54;0.0906;14;72,190;0.0000;278.62;0.3122;31;111,910;0.2461;255.47;-0.0252;2016213230MDT
Table 7;2013;4;31703;New York City, NY (Metropolitan Area);15070;SWF;149;77,610;0.4365;222.50;0.0166;50;13,330;0.0000;237.79;0.2428;99;64,280;0.5271;219.33;-0.0234;2013415070SWF
